query_index,query_path,label,total_relevant,search_ms,extract_ms,pca_ms,P@1,R@1,AP@1,P@5,R@5,AP@5,P@10,R@10,AP@10,P@20,R@20,AP@20
13,dataset\Acadian_Flycatcher_0064_795584.jpg,dataset,1245,0.768,6332.036,0.873,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
51,dataset\American_Pipit_0041_100060.jpg,dataset,1245,0.688,6123.507,0.701,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
54,dataset\American_Redstart_0044_103433.jpg,dataset,1245,0.638,6013.635,0.635,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
61,dataset\American_Redstart_0126_103091.jpg,dataset,1245,0.784,5880.198,0.869,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
65,dataset\American_Three_Toed_Woodpecker_0034_796165.jpg,dataset,1245,0.807,5922.315,0.810,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
88,dataset\Artic_Tern_0119_142682.jpg,dataset,1245,0.688,5755.662,0.698,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
93,dataset\Baird_Sparrow_0007_794563.jpg,dataset,1245,0.762,6117.668,0.747,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
114,dataset\Baltimore_Oriole_0109_87398.jpg,dataset,1245,0.899,6004.222,0.722,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
135,dataset\Bay_Breasted_Warbler_0013_159787.jpg,dataset,1245,0.631,6197.809,0.740,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
142,dataset\Bay_Breasted_Warbler_0051_797132.jpg,dataset,1245,0.810,6474.286,0.636,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
146,dataset\Bay_Breasted_Warbler_0064_797109.jpg,dataset,1245,0.735,6062.686,1.482,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
161,dataset\Belted_Kingfisher_0071_70584.jpg,dataset,1245,0.855,5864.934,0.794,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
163,dataset\Belted_Kingfisher_0079_70524.jpg,dataset,1245,0.773,5877.946,0.711,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
178,dataset\Bewick_Wren_0109_185170.jpg,dataset,1245,0.727,5900.640,0.723,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
189,dataset\Black_And_White_Warbler_0106_160014.jpg,dataset,1245,0.756,5835.514,0.974,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
191,dataset\Black_And_White_Warbler_0114_160537.jpg,dataset,1245,0.766,5961.903,0.799,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
198,dataset\Black_Billed_Cuckoo_0015_26208.jpg,dataset,1245,0.897,6052.804,0.897,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
206,dataset\Black_Billed_Cuckoo_0083_795315.jpg,dataset,1245,0.776,5921.540,0.632,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
209,dataset\Black_Capped_Vireo_0019_797479.jpg,dataset,1245,0.708,6050.449,0.723,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
228,dataset\Black_Tern_0064_143990.jpg,dataset,1245,0.804,6971.472,0.867,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
255,dataset\Black_Throated_Sparrow_0039_107259.jpg,dataset,1245,0.745,7342.117,0.875,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
283,dataset\Blue_Grosbeak_0071_36948.jpg,dataset,1245,0.725,7171.697,0.936,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
285,dataset\Blue_Grosbeak_0082_36991.jpg,dataset,1245,0.717,7192.697,0.840,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
292,dataset\Blue_Grosbeak_0112_36679.jpg,dataset,1245,0.813,7142.610,0.735,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
